Country,Branch,Product,Number of Customers,Revenue,Marketing Spend,Operational Cost,Regulatory Compliance Cost,Net Interest Margin %,Non Interest Income,Loan Quality Score,Credit Risk Score,GDP Billion USD,Inflation %,Interest Rate %,Total Cost,Profit,Profit Margin
Saudi Arabia,Branch_8,Home Loan,"7,949.00","3,717,131.73","36,456.94","1,308,578.34","139,943.71",3.34,"102,881.45",611.15,7.33,469.88,4.89,2.88,"1,484,978.99","2,335,034.19",63%
Kuwait,Branch_8,SME Loan,"2,147.00","8,431,993.05","774,525.26","1,630,105.65","454,245.15",4.93,"66,963.26",564.08,3.33,"1,041.36",3.44,3.09,"2,858,876.06","5,640,080.25",67%
Oman,Branch_10,Auto Loan,"2,847.00","5,590,742.86","56,792.14","879,771.00","452,444.88",3.64,"246,583.83",429.64,3.65,320.55,2.29,3.95,"1,389,008.02","4,448,318.67",80%
Saudi Arabia,Branch_7,Auto Loan,"9,267.00","9,026,149.17","42,962.84","266,540.63","462,219.64",2.85,"283,176.06",346.34,8.92,597.70,4.78,1.41,"771,723.11","8,537,602.12",95%
Oman,Branch_2,Personal Loan,289.00,"9,269,310.57","432,668.61","1,881,166.91","250,595.95",5.24,"152,676.72",543.28,4.42,"1,280.06",3.37,4.74,"2,564,431.47","6,857,555.82",74%
Qatar,Branch_3,Home Loan,"2,834.00","190,071.99","67,759.80","1,099,619.01","433,643.41",5.47,"110,999.53",608.72,6.01,334.89,5.50,1.29,"1,601,022.22","-1,299,950.70",-684%
Oman,Branch_9,Personal Loan,"3,105.00","846,580.54","790,198.23","1,238,282.36","475,629.12",3.45,"41,215.77",580.20,2.08,808.49,4.55,1.39,"2,504,109.71","-1,616,313.40",-191%
UAE,Branch_1,Auto Loan,"4,758.00","2,578,551.42","531,915.28","1,868,154.63","165,685.39",3.19,"14,096.00",682.56,3.27,"1,069.22",1.70,0.56,"2,565,755.30","26,892.12",1%
UAE,Branch_3,Home Loan,"1,999.00","6,726,222.62","33,893.59","1,864,535.64","212,342.83",4.26,"53,762.48",405.65,4.75,384.14,2.25,0.59,"2,110,772.06","4,669,213.04",69%
Saudi Arabia,Branch_5,Credit Card,"7,834.00","8,893,894.75","45,298.18","1,152,747.32","361,023.89",1.76,"371,297.63",494.81,6.91,606.20,2.32,2.43,"1,559,069.39","7,706,122.99",87%
Oman,Branch_9,Credit Card,"1,367.00","4,653,425.32","614,605.19","609,270.62","153,678.11",4.61,"172,665.31",528.56,3.52,926.38,2.72,1.32,"1,377,553.92","3,448,536.71",74%
Bahrain,Branch_2,Credit Card,"1,628.00","6,109,033.85","807,081.26","1,994,285.00","378,135.61",5.02,"14,682.04",402.59,9.56,625.40,4.33,1.45,"3,179,501.87","2,944,214.02",48%
Saudi Arabia,Branch_9,Personal Loan,"3,656.00","1,966,148.54","440,610.53","1,368,017.84","41,576.61",3.29,"254,574.47",798.56,2.98,342.92,5.47,4.95,"1,850,204.98","370,518.03",19%
Kuwait,Branch_2,Wealth Management,"3,990.00","8,069,171.66","556,807.77","828,704.62","264,131.70",2.29,"268,497.57",674.83,8.01,502.13,3.97,4.68,"1,649,644.09","6,688,025.14",83%
Bahrain,Branch_4,Home Loan,"8,938.00","9,676,548.30","800,830.31","1,128,476.87","65,545.17",1.63,"214,915.70",350.52,4.28,342.24,4.76,1.95,"1,994,852.35","7,896,611.65",82%
UAE,Branch_6,Wealth Management,"5,493.00","2,759,129.44","612,453.64","843,351.42","150,195.12",4.37,"56,230.72",692.04,8.50,"1,478.62",2.58,2.04,"1,606,000.18","1,209,359.98",44%
Qatar,Branch_4,Credit Card,"8,892.00","4,998,776.92","228,636.44","1,778,844.20","133,019.57",2.71,"377,728.73",601.28,9.31,506.34,3.61,1.81,"2,140,500.21","3,236,005.44",65%
Saudi Arabia,Branch_8,Wealth Management,"8,533.00","952,549.49","614,986.77","975,348.76","420,271.38",3.59,"344,851.71",588.17,2.68,889.72,3.52,4.47,"2,010,606.91","-713,205.71",-75%
Oman,Branch_2,Wealth Management,"7,613.00","5,635,452.90","630,138.06","1,650,586.18","100,791.04",3.24,"197,969.84",844.38,5.42,757.08,4.51,0.94,"2,381,515.28","3,451,907.46",61%
Oman,Branch_2,Personal Loan,"2,712.00","5,077,556.07","735,436.45","1,683,549.07","405,181.72",2.29,"191,026.86",640.01,2.39,940.37,3.59,3.13,"2,824,167.24","2,444,415.69",48%
Saudi Arabia,Branch_3,Home Loan,"7,141.00","1,529,921.19","622,769.82","1,652,178.03","398,010.37",3.79,"78,811.62",793.20,7.35,847.52,2.67,1.34,"2,672,958.22","-1,064,225.41",-70%
Saudi Arabia,Branch_1,Auto Loan,"9,655.00","4,476,455.51","969,395.92","1,449,933.45","251,947.11",3.57,"377,021.12",802.45,8.49,"1,145.31",2.22,3.91,"2,671,276.48","2,182,200.15",49%
Bahrain,Branch_9,Wealth Management,"6,335.00","3,407,636.06","201,301.87","1,712,657.88","120,752.41",4.31,"300,187.38",355.78,4.51,"1,334.92",2.27,3.34,"2,034,712.16","1,673,111.28",49%
Oman,Branch_9,Credit Card,"5,586.00","5,266,125.67","951,335.23","786,714.57","117,313.69",2.63,"43,810.93",304.60,4.57,570.89,5.90,2.25,"1,855,363.49","3,454,573.11",66%
Kuwait,Branch_8,Credit Card,"7,199.00","5,897,977.92","540,647.79","247,033.15","235,137.70",2.47,"189,653.67",539.40,2.83,438.69,2.79,0.94,"1,022,818.64","5,064,812.95",86%
Qatar,Branch_10,Personal Loan,"9,770.00","184,106.23","673,596.36","1,688,059.32","9,360.46",5.16,"451,876.91",723.11,3.76,"1,479.64",5.03,3.95,"2,371,016.14","-1,735,033.00",-942%
Qatar,Branch_8,Wealth Management,875.00,"7,633,959.23","103,964.29","1,006,373.46","268,018.62",4.66,"226,734.93",753.31,3.92,"1,325.89",1.36,0.85,"1,378,356.37","6,482,337.79",85%
Saudi Arabia,Branch_7,Personal Loan,"8,326.00","7,158,841.49","383,673.06","272,204.54","476,625.87",4.97,"163,138.82",733.12,2.40,673.09,1.45,1.73,"1,132,503.47","6,189,476.84",86%
Qatar,Branch_2,Wealth Management,"3,252.00","3,726,235.22","770,532.25","248,318.79","81,579.91",2.05,"322,248.25",546.01,3.79,"1,363.22",4.43,1.64,"1,100,430.95","2,948,052.52",79%
Qatar,Branch_5,Credit Card,"1,685.00","624,065.76","708,376.46","335,299.94","288,806.08",2.51,"102,283.22",712.48,9.17,"1,071.71",3.29,3.10,"1,332,482.48","-606,133.50",-97%
Saudi Arabia,Branch_9,Wealth Management,"4,043.00","7,573,832.14","44,938.69","1,506,927.05","481,080.45",4.09,"262,377.90",695.33,3.93,768.65,5.40,2.81,"2,032,946.19","5,803,263.85",77%
Saudi Arabia,Branch_7,Auto Loan,"7,655.00","9,556,234.09","548,861.29","1,427,496.21","430,958.46",5.36,"335,091.85",472.60,3.47,"1,335.45",5.31,1.76,"2,407,315.96","7,484,009.98",78%
Oman,Branch_6,Personal Loan,"3,173.00","2,477,500.80","92,836.80","423,560.99","425,938.16",5.51,"427,584.33",392.80,4.46,"1,077.87",4.78,2.44,"942,335.95","1,962,749.18",79%
Kuwait,Branch_4,Personal Loan,"1,121.00","3,302,893.68","995,877.15","1,696,908.37","411,815.72",5.24,"346,559.65",641.78,9.64,"1,274.39",5.08,2.46,"3,104,601.24","544,852.09",16%
Oman,Branch_9,Credit Card,"3,943.00","1,919,747.61","897,810.11","576,963.70","157,966.68",1.70,"192,820.49",672.40,7.88,743.09,5.35,3.08,"1,632,740.49","479,827.61",25%
Saudi Arabia,Branch_5,Personal Loan,"8,089.00","5,811,667.62","25,975.26","1,590,111.45","445,855.33",5.19,"384,132.29",612.38,2.82,"1,238.33",4.92,4.54,"2,061,942.04","4,133,857.87",71%
Saudi Arabia,Branch_7,Credit Card,"9,792.00","1,632,929.81","859,356.33","987,835.70","470,963.47",5.55,"449,301.56",417.25,7.77,677.01,3.63,1.14,"2,318,155.50","-235,924.13",-14%
Kuwait,Branch_7,Credit Card,"6,973.00","3,626,320.04","919,832.45","1,468,466.39","250,417.25",1.76,"239,404.05",452.17,7.90,"1,155.60",2.32,3.01,"2,638,716.09","1,227,008.00",34%
Kuwait,Branch_2,Home Loan,"5,775.00","7,000,428.84","356,780.48","775,147.57","180,512.67",3.37,"3,245.89",689.67,9.55,766.19,4.94,0.58,"1,312,440.72","5,691,234.01",81%
Oman,Branch_8,Personal Loan,261.00,"5,645,148.23","720,904.15","707,338.38","210,043.36",3.91,"440,578.09",829.44,9.02,726.75,2.59,3.64,"1,638,285.89","4,447,440.43",79%
Qatar,Branch_4,Credit Card,"4,397.00","3,925,979.39","444,893.23","1,685,892.01","170,432.19",2.55,"83,555.55",819.66,1.86,"1,235.62",2.22,3.38,"2,301,217.43","1,708,317.51",44%
Oman,Branch_6,Personal Loan,"1,095.00","4,260,471.06","656,956.32","89,898.46","110,147.13",3.83,"64,036.43",585.81,5.09,362.55,1.86,3.62,"857,001.91","3,467,505.58",81%
Saudi Arabia,Branch_9,Wealth Management,"7,729.00","5,664,897.74","343,615.82","1,949,979.16","311,131.99",5.49,"154,531.60",787.61,7.33,"1,406.67",4.14,2.64,"2,604,726.97","3,214,702.37",57%
Bahrain,Branch_5,SME Loan,"9,567.00","158,060.81","325,946.44","1,303,395.53","283,485.46",5.40,"190,611.89",316.20,9.76,861.28,2.21,1.34,"1,912,827.43","-1,564,154.73",-990%
Saudi Arabia,Branch_8,SME Loan,"1,116.00","877,247.70","427,311.72","876,317.11","233,979.61",5.73,"399,888.97",773.63,1.77,"1,026.90",2.87,2.52,"1,537,608.44","-260,471.77",-30%
Qatar,Branch_5,SME Loan,"7,969.00","8,824,454.87","149,839.92","1,263,547.97","52,443.47",3.68,"195,202.51",561.88,4.31,726.84,4.55,0.61,"1,465,831.36","7,553,826.02",86%
Oman,Branch_7,Home Loan,"6,539.00","871,001.99","831,983.27","263,027.07","399,462.02",3.35,"25,361.76",729.84,5.43,"1,039.64",4.97,2.22,"1,494,472.36","-598,108.61",-69%
UAE,Branch_1,Home Loan,"7,992.00","7,097,355.60","351,954.41","1,037,823.86","91,592.11",4.50,"318,344.88",303.07,4.72,"1,122.81",2.57,4.27,"1,481,370.38","5,934,330.10",84%
Kuwait,Branch_8,SME Loan,"6,963.00","9,208,377.82","403,148.81","1,970,489.14","61,708.21",3.38,"335,939.29",777.71,5.10,"1,329.02",5.21,2.02,"2,435,346.16","7,108,970.95",77%
Saudi Arabia,Branch_9,Auto Loan,"8,016.00","2,779,767.68","894,584.34","485,833.49","313,420.34",1.69,"407,296.24",627.24,4.32,"1,310.69",1.29,3.16,"1,693,838.17","1,493,225.75",54%
Bahrain,Branch_4,Wealth Management,"8,629.00","3,767,865.23","499,140.69","1,450,110.64","202,328.96",4.74,"200,034.17",432.13,9.74,665.16,5.93,1.68,"2,151,580.29","1,816,319.11",48%
Bahrain,Branch_1,Personal Loan,978.00,"5,732,321.92","546,532.64","881,243.32","34,605.20",2.76,"43,949.47",491.12,8.23,"1,000.61",3.08,1.10,"1,462,381.16","4,313,890.23",75%
Saudi Arabia,Branch_9,Home Loan,"9,368.00","8,828,918.80","956,715.63","1,311,867.13","181,006.34",1.72,"276,978.08",410.37,7.63,"1,214.75",2.62,2.84,"2,449,589.10","6,656,307.78",75%
Oman,Branch_5,Credit Card,"4,987.00","9,424,865.31","887,292.75","425,676.71","387,031.27",1.59,"61,377.69",533.42,4.70,"1,194.32",5.62,0.66,"1,700,000.73","7,786,242.27",83%
Oman,Branch_10,Wealth Management,"4,959.00","7,421,676.16","173,619.38","951,520.67","309,548.36",5.69,"9,520.59",481.50,8.93,"1,358.21",1.66,4.57,"1,434,688.41","5,996,508.34",81%
UAE,Branch_3,Personal Loan,"6,431.00","957,535.63","475,848.95","1,960,583.57","184,579.08",2.63,"389,513.15",593.98,1.84,"1,281.53",2.79,4.00,"2,621,011.60","-1,273,962.82",-133%
Oman,Branch_1,Credit Card,"8,671.00","6,724,626.14","971,439.75","406,668.56","99,943.37",3.52,"202,301.89",748.13,2.29,"1,133.21",2.79,4.99,"1,478,051.68","5,448,876.35",81%
Oman,Branch_2,Auto Loan,"8,784.00","4,162,006.85","375,504.47","1,280,161.16","317,738.83",5.78,"262,977.58",840.25,9.59,"1,173.51",3.12,4.97,"1,973,404.46","2,451,579.97",59%
Kuwait,Branch_8,Home Loan,"7,308.00","4,759,939.89","374,715.24","1,159,683.54","444,339.87",3.60,"331,761.75",438.30,6.10,"1,249.68",5.24,3.78,"1,978,738.65","3,112,962.99",65%
Saudi Arabia,Branch_6,Credit Card,"5,376.00","586,569.06","199,055.08","1,138,802.14","324,905.00",1.85,"201,112.81",358.58,2.44,"1,289.26",5.25,4.00,"1,662,762.22","-875,080.35",-149%
Qatar,Branch_9,SME Loan,"2,162.00","1,991,515.18","118,751.50","1,237,944.11","407,387.41",3.98,"26,514.66",517.62,9.54,658.47,3.96,2.88,"1,764,083.02","253,946.82",13%
Kuwait,Branch_4,Home Loan,164.00,"7,926,084.71","741,603.27","1,014,431.19","263,156.28",1.90,"127,119.09",378.95,9.77,"1,216.35",5.96,1.48,"2,019,190.74","6,034,013.06",76%
Oman,Branch_4,Credit Card,"8,106.00","4,594,192.45","771,180.32","53,522.89","360,395.70",1.93,"97,976.25",758.83,8.93,"1,433.97",5.22,4.14,"1,185,098.91","3,507,069.79",76%
Bahrain,Branch_3,Home Loan,"2,668.00","3,086,456.19","969,167.90","1,802,191.69","448,632.25",5.33,"488,719.62",575.62,3.15,502.85,4.41,1.71,"3,219,991.84","355,183.97",12%
UAE,Branch_10,Credit Card,"5,563.00","3,901,788.83","774,551.12","1,657,418.08","387,723.59",2.80,"370,013.22",640.98,3.51,262.71,2.00,3.42,"2,819,692.79","1,452,109.26",37%
Qatar,Branch_7,SME Loan,"2,127.00","8,558,555.18","247,135.73","364,852.01","455,377.71",4.55,"226,323.45",382.84,4.66,294.12,3.75,3.79,"1,067,365.45","7,717,513.18",90%
Saudi Arabia,Branch_1,Wealth Management,"2,795.00","7,515,090.27","44,916.00","838,280.89","218,414.10",3.79,"32,620.33",712.28,6.21,481.73,2.07,3.04,"1,101,610.99","6,446,099.61",86%
Kuwait,Branch_1,SME Loan,"9,787.00","2,795,922.43","985,510.20","1,545,686.98","452,589.03",2.50,"58,809.41",835.47,9.93,"1,395.73",2.51,3.48,"2,983,786.21","-129,054.37",-5%
Oman,Branch_10,Credit Card,"5,358.00","1,263,268.22","343,748.44","1,960,523.38","312,675.78",3.83,"406,636.89",565.31,9.61,364.83,4.43,1.82,"2,616,947.60","-947,042.49",-75%
Saudi Arabia,Branch_4,Credit Card,"5,718.00","2,594,782.39","315,411.68","1,903,251.35","435,674.14",1.81,"472,779.10",829.35,9.29,"1,171.88",1.92,3.92,"2,654,337.17","413,224.32",16%
Bahrain,Branch_3,Home Loan,"6,836.00","9,215,488.87","906,425.43","1,800,731.22","24,491.38",3.06,"16,643.74",319.09,1.80,"1,327.16",1.45,4.75,"2,731,648.03","6,500,484.58",71%
UAE,Branch_1,Credit Card,491.00,"5,857,729.49","587,174.40","333,580.32","330,636.93",3.85,"455,288.16",319.65,7.81,"1,340.78",3.66,2.68,"1,251,391.65","5,061,626.00",86%
Qatar,Branch_8,SME Loan,"5,992.00","5,381,454.07","218,796.82","1,830,660.71","424,747.66",2.53,"190,901.29",828.01,8.89,741.77,1.00,1.04,"2,474,205.19","3,098,150.17",58%
Bahrain,Branch_4,Credit Card,"3,661.00","6,004,296.64","889,650.76","1,759,320.93","91,230.01",4.47,"107,602.70",685.15,4.00,843.84,4.04,3.29,"2,740,201.70","3,371,697.64",56%
Saudi Arabia,Branch_3,Home Loan,"6,284.00","3,723,679.83","993,394.05","766,360.82","332,584.53",1.73,"52,013.95",403.78,2.98,620.22,5.51,2.04,"2,092,339.40","1,683,354.38",45%
Qatar,Branch_1,Home Loan,"3,199.00","8,090,359.50","91,245.17","801,154.74","413,352.58",3.68,"386,102.72",500.13,7.74,391.55,1.95,2.39,"1,305,752.49","7,170,709.73",89%
Oman,Branch_3,Wealth Management,"6,378.00","5,280,533.87","862,940.37","930,619.67","147,534.94",4.72,"234,986.33",579.26,1.82,475.82,2.91,1.18,"1,941,094.98","3,574,425.22",68%
Saudi Arabia,Branch_3,Credit Card,"8,492.00","1,255,804.24","393,563.12","1,319,227.75","205,596.93",3.43,"416,379.47",686.45,9.47,375.22,5.58,3.32,"1,918,387.80","-246,204.09",-20%
Saudi Arabia,Branch_2,Auto Loan,"3,204.00","1,377,744.74","526,452.08","536,454.52","286,911.27",5.44,"113,852.42",763.11,2.40,729.78,4.52,4.04,"1,349,817.87","141,779.29",10%
Oman,Branch_1,Personal Loan,"7,315.00","5,414,905.55","915,241.90","65,437.89","261,988.01",4.34,"339,605.45",345.46,5.12,421.45,1.68,3.95,"1,242,667.80","4,511,843.20",83%
UAE,Branch_5,SME Loan,"2,554.00","9,372,045.16","973,512.30","299,634.46","24,398.75",5.81,"59,942.73",661.12,9.85,724.42,2.91,4.97,"1,297,545.51","8,134,442.38",87%
UAE,Branch_1,Home Loan,"9,096.00","3,152,686.00","265,853.09","891,429.50","53,842.69",2.78,"45,785.59",562.19,9.89,"1,306.55",4.78,1.45,"1,211,125.28","1,987,346.31",63%
UAE,Branch_3,Home Loan,"2,831.00","8,708,457.57","216,786.52","578,365.09","54,730.96",5.72,"67,566.53",628.69,7.98,"1,050.87",4.32,4.61,"849,882.57","7,926,141.53",91%
UAE,Branch_5,Auto Loan,"8,254.00","7,664,546.31","85,113.98","1,533,742.79","134,822.61",4.23,"404,641.75",579.69,8.55,"1,061.58",1.78,3.80,"1,753,679.38","6,315,508.68",82%
UAE,Branch_1,Auto Loan,"9,862.00","2,553,343.18","563,988.86","231,246.34","126,702.74",4.85,"328,154.25",547.88,9.70,"1,255.43",1.31,3.68,"921,937.94","1,959,559.49",77%
Oman,Branch_8,Home Loan,"5,156.00","459,773.41","18,536.37","1,836,581.15","372,400.08",5.56,"83,815.98",413.03,9.35,253.55,4.41,3.58,"2,227,517.60","-1,683,928.21",-366%
Kuwait,Branch_1,Credit Card,"8,210.00","1,108,287.92","414,838.81","1,792,747.82","288,508.47",3.98,"193,001.33",559.78,6.60,"1,232.86",4.05,2.92,"2,496,095.10","-1,194,805.85",-108%
Oman,Branch_9,Credit Card,"3,940.00","7,312,089.95","78,017.10","1,819,338.50","383,168.16",5.38,"382,079.32",404.31,7.61,455.25,1.30,2.20,"2,280,523.76","5,413,645.51",74%
UAE,Branch_8,SME Loan,"1,128.00","2,076,730.41","408,199.65","1,484,427.80","39,598.55",3.94,"143,551.52",324.54,6.34,649.70,5.87,4.75,"1,932,226.00","288,055.93",14%
UAE,Branch_5,Personal Loan,"7,485.00","3,775,582.11","44,732.53","231,859.94","245,181.05",4.20,"460,710.59",505.60,5.56,600.46,2.26,1.18,"521,773.52","3,714,519.18",98%
Qatar,Branch_2,Auto Loan,602.00,"5,066,821.74","836,041.17","887,512.39","165,268.91",3.50,"457,386.79",313.73,8.93,337.35,2.93,1.29,"1,888,822.47","3,635,386.06",72%
Qatar,Branch_10,Home Loan,"7,010.00","7,282,134.87","213,690.30","280,182.64","425,719.96",2.16,"276,897.51",609.40,7.64,425.82,1.89,0.58,"919,592.90","6,639,439.48",91%
Oman,Branch_9,Wealth Management,"9,162.00","1,220,989.11","331,667.17","1,975,644.40","355,355.63",3.99,"316,355.16",339.82,8.74,"1,443.25",5.14,3.83,"2,662,667.20","-1,125,322.93",-92%
Oman,Branch_6,Wealth Management,"7,038.00","4,123,027.41","870,697.76","679,416.08","435,282.94",5.90,"326,955.96",540.65,1.86,980.35,5.81,4.52,"1,985,396.78","2,464,586.59",60%
Qatar,Branch_3,SME Loan,"4,588.00","4,902,221.80","747,534.73","1,178,954.47","27,981.43",5.04,"129,975.76",839.08,6.19,816.16,2.07,1.34,"1,954,470.63","3,077,726.93",63%
Kuwait,Branch_3,SME Loan,306.00,"5,454,187.93","222,943.17","1,563,198.25","361,807.63",4.86,"183,295.37",305.43,3.97,"1,185.13",2.42,0.65,"2,147,949.05","3,489,534.25",64%
UAE,Branch_1,Personal Loan,"5,234.00","8,201,770.35","76,539.92","1,842,819.85","272,304.13",4.39,"68,834.61",501.77,5.62,"1,257.86",4.53,1.60,"2,191,663.90","6,078,941.06",74%
Oman,Branch_3,Auto Loan,"6,077.00","1,799,614.13","717,095.41","1,515,984.50","413,375.01",3.07,"462,510.80",670.29,6.52,343.34,3.64,4.48,"2,646,454.92","-384,329.99",-21%
Kuwait,Branch_9,Credit Card,"7,821.00","8,097,531.37","393,749.04","1,355,517.48","256,044.49",2.26,"362,200.87",387.40,8.61,"1,163.18",1.53,0.57,"2,005,311.01","6,454,421.23",80%
Kuwait,Branch_6,Credit Card,"7,135.00","6,959,496.43","767,249.60","942,643.93","272,403.49",2.51,"24,131.78",608.40,1.29,"1,412.12",5.64,0.96,"1,982,297.02","5,001,331.19",72%
Oman,Branch_3,Auto Loan,"1,584.00","5,603,121.06","448,068.30","1,218,692.26","30,624.85",1.53,"275,144.34",442.00,2.48,961.07,4.06,0.61,"1,697,385.41","4,180,879.99",75%
Saudi Arabia,Branch_1,SME Loan,"7,958.00","7,025,325.92","349,272.40","206,444.34","335,918.82",4.53,"172,193.79",422.52,9.29,998.40,2.51,4.74,"891,635.56","6,305,884.15",90%
Kuwait,Branch_1,SME Loan,963.00,"4,178,975.62","453,949.38","1,770,166.63","140,204.24",5.15,"407,828.65",792.24,9.71,"1,331.53",3.45,1.11,"2,364,320.25","2,222,484.02",53%
Saudi Arabia,Branch_6,SME Loan,"2,890.00","1,470,136.10","749,816.19","1,096,679.07","14,748.49",2.71,"172,556.24",411.80,1.50,"1,083.33",3.50,4.55,"1,861,243.75","-218,551.41",-15%
Oman,Branch_10,Home Loan,"7,508.00","6,691,075.88","902,709.19","99,467.40","37,886.40",1.91,"322,430.91",507.10,3.99,"1,493.85",3.63,2.63,"1,040,062.99","5,973,443.80",89%
Bahrain,Branch_8,Credit Card,"8,855.00","5,294,255.84","54,518.36","1,841,406.21","478,856.38",3.01,"83,704.43",393.28,1.09,567.50,3.49,2.28,"2,374,780.95","3,003,179.32",57%
Qatar,Branch_10,Home Loan,"5,216.00","6,429,810.53","526,490.98","988,817.91","176,308.26",2.81,"279,818.99",456.14,7.82,"1,299.12",3.81,2.42,"1,691,617.15","5,018,012.37",78%
Saudi Arabia,Branch_6,Personal Loan,"6,119.00","3,446,187.93","37,671.25","1,739,806.50","434,697.44",3.53,"147,648.98",461.21,7.14,996.13,2.97,2.38,"2,212,175.19","1,381,661.72",40%
